Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.92327e-310 -nan -nan -nan -nan;
 1.98901 1.95137 7.9273 -0.00451488 0.0230229 0.999725 0.000246685;
 1.98901 1.95137 7.9273 -0.00451488 0.0230229 0.999725 0.000246685;
 1.98882 1.95056 7.92745 -0.00471348 0.0230008 0.999724 0.000144184;
 1.98847 1.9501 7.92851 -0.000593282 0.0195988 0.999808 0.000275683;
 1.98583 1.94557 7.92819 0.0535173 -0.0299414 0.998115 0.00247646;
 1.97266 1.93087 7.92208 0.0817653 -0.0695122 0.994214 0.00447755;
 1.77432 1.72245 7.89505 -0.0515208 0.0796062 0.995432 0.0110985;
 1.77432 1.72245 7.89505 -0.0515208 0.0796062 0.995432 0.0110985;
 1.76372 1.70297 7.8911 -0.0439734 0.0742228 0.996195 0.0123508;
 1.76184 1.69095 7.88918 -0.0112865 0.0377703 0.999131 0.0135161;
 1.75801 1.67669 7.89243 0.0528982 -0.0334521 0.997915 0.0157799;
 1.58405 1.47343 7.87997 -0.0237293 0.0540598 0.998057 0.0199417;
 1.58405 1.47343 7.87997 -0.0237293 0.0540598 0.998057 0.0199417;
 1.58238 1.46202 7.87771 -0.0110523 0.0282463 0.999344 0.0197711;
 1.58038 1.4518 7.87746 0.00246804 0.00827231 0.999772 0.0195457;
 1.57331 1.43704 7.88136 0.0495052 -0.041881 0.997678 0.0208366;
 1.41125 1.30123 7.8783 -0.0263945 0.0672555 0.997181 0.0202746;
 1.41125 1.30123 7.8783 -0.0263945 0.0672555 0.997181 0.0202746;
 1.40456 1.29142 7.87784 -0.0214188 0.0516801 0.99824 0.019673;
 1.40153 1.28356 7.88007 -0.00590193 0.0214519 0.999569 0.0191433;
 1.39563 1.27499 7.88499 0.0280752 -0.0390508 0.998652 0.0195201;
 1.37772 1.26104 7.88606 0.0436751 -0.0726126 0.996207 0.0197747;
 1.21807 1.15286 7.88986 -0.0206558 0.0544972 0.998103 0.0198242;
 1.21807 1.15286 7.88986 -0.0206558 0.0544972 0.998103 0.0198242;
 1.20495 1.13875 7.8901 -0.0262857 0.0537136 0.998015 0.0197345;
 1.19726 1.12882 7.89222 -0.0154553 0.0348739 0.999089 0.019153;
 1.19249 1.12 7.89849 0.0206689 -0.0235519 0.999316 0.0196607;
 1.1775 1.10497 7.90286 0.0536077 -0.0676867 0.996054 0.0205281;
 1.15147 1.08406 7.90524 0.0379236 -0.0589565 0.997328 0.0205404;
 1.01819 0.988019 7.92079 -0.00213079 -0.00140243 0.999795 0.0200647;
 1.01819 0.988019 7.92079 -0.00213079 -0.00140243 0.999795 0.0200647;
 0.991234 0.971276 7.92618 -0.0164602 0.0244509 0.99936 0.0202775;
 0.967172 0.957691 7.9298 -0.0189991 0.0461257 0.99855 0.0202166;
 0.949294 0.945791 7.93632 0.0071711 0.00726748 0.999734 0.0206639;
 0.930344 0.932535 7.94059 0.0258437 -0.0378954 0.998726 0.0210273;
 0.90034 0.914194 7.94579 0.0218499 -0.030899 0.999064 0.0209539;
 0.866511 0.894228 7.9488 0.0110078 -0.00100104 0.999726 0.0206222;
 0.834635 0.87462 7.9399 0.00162709 0.0257305 0.999465 0.0201063;
 0.805242 0.856128 7.88575 -0.00958649 0.0462136 0.998683 0.0201102;
