Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.94476e-310 -nan -nan -nan -nan;
 -2.00931 2.07227 7.96265 -0.000937982 0.00981522 0.999951 -1.58894e-05;
 -2.00931 2.07227 7.96265 -0.000937982 0.00981522 0.999951 -1.58894e-05;
 -2.00867 2.07176 7.96327 -0.00087829 0.0099318 0.99995 -5.42008e-05;
 -2.00826 2.07028 7.91873 -0.00105129 0.0351239 0.999382 -0.000126946;
 -1.33876 1.50686 7.59785 -0.18287 -0.222844 0.952314 -0.0999908;
 -1.33876 1.50686 7.59785 -0.18287 -0.222844 0.952314 -0.0999908;
 -1.321 1.48876 7.58603 -0.112288 -0.129788 0.979051 -0.109569;
 -1.31644 1.48128 7.53063 -0.00721257 0.0116352 0.992553 -0.121039;
 -0.939303 1.13402 7.22326 -0.092587 -0.131232 0.974098 -0.159182;
 -0.939303 1.13402 7.22326 -0.092587 -0.131232 0.974098 -0.159182;
 -0.935424 1.1284 7.21237 -0.0440745 -0.05038 0.984607 -0.161458;
 -0.937215 1.12735 7.15901 0.00068216 0.00663714 0.986835 -0.161595;
 -0.940291 1.12636 7.07332 -0.0127754 -0.0158996 0.986417 -0.162988;
 -0.947922 1.1302 6.9669 -0.08194 -0.061638 0.980709 -0.16642;
 -0.962675 1.14847 6.87248 -0.069381 -0.0194843 0.982392 -0.172373;
 -0.976057 1.17724 6.77772 0.0193764 0.0967891 0.978438 -0.181427;
 -0.635946 1.022 6.44511 -0.0275116 -0.104681 0.973042 -0.203654;
 -0.635946 1.022 6.44511 -0.0275116 -0.104681 0.973042 -0.203654;
 -0.624367 1.0194 6.43371 -0.0136057 -0.0464204 0.978109 -0.202394;
 -0.612933 1.01458 6.38164 0.00522407 0.0402578 0.978776 -0.200872;
 -0.594809 1.00542 6.28363 0.0270812 0.0821897 0.97633 -0.198222;
 -0.558735 0.949463 5.98771 0.0312357 -0.107266 0.975643 -0.188784;
 -0.558735 0.949463 5.98771 0.0312357 -0.107266 0.975643 -0.188784;
