Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 -2.53626 -1.36163 8.41316 -0.154002 0.309542 0.93637 0.0606463;
 -2.61671 -1.17499 8.42405 -0.188912 0.301109 0.932303 0.0667535;
 -2.63384 -1.04013 8.42828 -0.211218 0.288512 0.930928 0.0743045;
 -2.6225 -0.798218 8.43645 -0.162659 0.178284 0.966152 0.0911484;
 -2.57602 -0.544258 8.4692 -0.0392225 0.191122 0.975846 0.0982813;
 -2.53897 -0.396934 8.48376 -0.0742463 0.220075 0.966921 0.105441;
 -2.47074 -0.184328 8.48961 -0.149238 0.254653 0.946981 0.126911;
 -2.35372 0.0568521 8.50011 -0.180151 0.219214 0.948031 0.143974;
 -2.22197 0.306963 8.50679 -0.079045 0.18511 0.969039 0.143003;
 -2.07732 0.530635 8.5361 -0.09342 0.264296 0.949777 0.139084;
 -1.91501 0.747544 8.54954 -0.124325 0.294097 0.935943 0.148531;
 -1.69836 0.985903 8.56047 -0.101451 0.322009 0.930428 0.142551;
 -1.43707 1.22333 8.57519 -0.0218736 0.342722 0.932483 0.111977;
 -1.15138 1.42039 8.58918 0.068482 0.230387 0.966549 0.0895266;
 -0.954634 1.5319 8.60598 0.131588 0.207972 0.963393 0.106329;
 -0.651835 1.66509 8.62439 0.167546 0.256704 0.948151 0.0839115;
 -0.310943 1.76556 8.62988 0.204191 0.267095 0.939086 0.0713016;
 0.0290566 1.80335 8.63769 0.238722 0.261021 0.933335 0.061359;
 0.409823 1.79283 8.64088 0.25739 0.249761 0.931943 0.0534032;
 0.77351 1.72952 8.64405 0.267835 0.239927 0.93191 0.0473733;
 1.17377 1.61239 8.64692 0.26722 0.238754 0.932598 0.0430088;
 1.57883 1.44496 8.64966 0.278091 0.222013 0.933725 0.0391653;
 1.94661 1.2491 8.65853 0.294077 0.0824057 0.952011 0.0200899;
 2.19581 1.07433 8.66623 0.304149 -0.0675897 0.950194 0.00758664;
 2.47468 0.812167 8.66678 0.298525 -0.164196 0.94017 0.00177072;
 2.61843 0.618431 8.66835 0.236209 -0.234779 0.942523 -0.0271139;
 2.77284 0.291016 8.6735 0.16933 -0.303138 0.936474 -0.049499;
 2.83609 -0.023183 8.67459 0.136174 -0.336602 0.92969 -0.0619048;
 2.82631 -0.207386 8.67466 0.104092 -0.312965 0.941289 -0.0720634;
 2.76498 -0.456797 8.68713 -0.0828279 -0.173212 0.976951 -0.0932996;
 2.68101 -0.655555 8.70378 -0.267089 -0.0517785 0.958759 -0.0822443;
 2.58594 -0.796073 8.71809 -0.243141 -0.198479 0.949004 -0.0296453;
 2.46812 -0.867352 8.72491 -0.164859 -0.127718 0.976649 -0.051638;
 2.32549 -0.904004 8.74357 -0.0816125 -0.152578 0.984913 -0.00243369;
 2.21745 -0.916064 8.75718 -0.030382 -0.231868 0.97227 0.00213052;
 2.05073 -0.923978 8.76084 -0.109406 -0.184996 0.976381 -0.0220872;
 1.77979 -0.899915 8.78804 -0.121273 -0.190754 0.974115 0.00238888;
 1.64526 -0.877328 8.7907 -0.161158 -0.239962 0.957223 -0.0130844;
 1.42243 -0.8211 8.79335 -0.145439 -0.143771 0.978372 -0.0310643;
