Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.90755e-310 -nan -nan -nan -nan;
 1.74073 1.91216 7.99239 0.00867439 0.0125464 0.999884 -7.64544e-05;
 1.74073 1.91216 7.99239 0.00867439 0.0125464 0.999884 -7.64544e-05;
 1.74107 1.91369 7.9924 0.00896795 0.0127484 0.999879 -0.000185615;
 1.74138 1.9151 7.99209 0.00997117 0.0122438 0.999875 -0.000148188;
 1.73994 1.915 7.99236 0.0168217 0.00485839 0.999847 -1.26441e-06;
 1.73858 1.9148 7.99309 0.0320303 -0.0150885 0.999373 0.00035201;
 1.7382 1.9144 7.99321 0.040801 -0.0289238 0.998748 0.000674392;
 1.73655 1.91193 7.99246 0.0483254 -0.0434127 0.997887 0.00112831;
 1.73316 1.90761 7.99107 0.0490492 -0.0498948 0.997548 0.00148142;
 1.72052 1.89833 7.98909 0.0427684 -0.0444912 0.998092 0.00188076;
 1.70697 1.88845 7.98752 0.0367479 -0.035112 0.998705 0.00210684;
 1.69348 1.87818 7.98613 0.0303223 -0.0228737 0.999276 0.00239006;
 1.68558 1.87263 7.98534 0.0274578 -0.0165644 0.999483 0.00236499;
 1.66853 1.86108 7.98309 0.0241606 -0.00810098 0.999673 0.00230737;
 1.66853 1.86108 7.98309 0.0241606 -0.00810098 0.999673 0.00230737;
 1.65231 1.84897 7.98082 0.0228419 -0.00341884 0.999731 0.00215476;
 1.63583 1.83678 7.97841 0.0230724 -0.00381255 0.999725 0.00192008;
 1.61854 1.82522 7.97598 0.0238339 -0.00603373 0.999696 0.00173628;
 1.6054 1.8156 7.97385 0.0248078 -0.00945435 0.999646 0.00154848;
 1.59855 1.81027 7.97268 0.0248992 -0.0102333 0.999636 0.00150726;
 1.57856 1.79579 7.96886 0.0251208 -0.0123517 0.999607 0.0012199;
 1.55847 1.78084 7.96522 0.0250021 -0.0126919 0.999606 0.00105784;
 1.54268 1.76836 7.9618 0.0244463 -0.0122553 0.999626 0.000927947;
 1.52187 1.75393 7.95817 0.0237645 -0.0108204 0.999659 0.000768;
 1.50279 1.74019 7.95445 0.0234608 -0.00995379 0.999675 0.000616735;
 1.47375 1.71865 7.94784 0.0235098 -0.00898293 0.999683 0.000546855;
 1.45316 1.70428 7.9432 0.0238352 -0.00905654 0.999675 0.000464627;
 1.42529 1.68321 7.93658 0.024484 -0.00985183 0.999652 0.000430994;
 1.4147 1.67565 7.93454 0.024535 -0.00999222 0.999649 0.000453416;
 1.39364 1.66052 7.9303 0.0247006 -0.0103225 0.999641 0.000498934;
 1.37513 1.64658 7.92601 0.0247532 -0.0101699 0.999642 0.00038105;
 1.35384 1.63054 7.92177 0.024723 -0.00965574 0.999648 0.000322423;
 1.34281 1.62256 7.91984 0.0246438 -0.00926457 0.999653 0.000306239;
 1.33251 1.61492 7.91797 0.0246341 -0.0091673 0.999654 0.000314879;
 1.31386 1.60057 7.91431 0.0243304 -0.00875666 0.999666 0.00031391;
 1.29265 1.58426 7.90947 0.0242956 -0.00862632 0.999668 0.000260636;
 1.28165 1.57623 7.90698 0.0244228 -0.00869793 0.999664 0.000234126;
 1.25065 1.5525 7.89937 0.0244694 -0.0091218 0.999659 0.000147598;
 1.23454 1.53988 7.89516 0.024555 -0.00929129 0.999655 0.000182875;
 1.20123 1.51424 7.8871 0.0248791 -0.0095149 0.999645 7.8351e-05;
 1.19237 1.50709 7.88496 0.024894 -0.00948415 0.999645 -1.32341e-05;
 1.17429 1.49268 7.88093 0.025005 -0.00959441 0.999641 -3.41811e-05;
 1.16062 1.48268 7.87828 0.0251154 -0.00973183 0.999637 -7.35462e-05;
 1.14099 1.46779 7.87388 0.0250607 -0.00972907 0.999639 -7.86039e-05;
 1.13209 1.46076 7.8716 0.0250707 -0.00964269 0.999639 -5.81205e-05;
 1.12373 1.45403 7.86931 0.025063 -0.00956838 0.99964 -7.72552e-05;
 1.10296 1.43769 7.86475 0.0251321 -0.0094137 0.99964 -9.99302e-05;
 1.09267 1.4295 7.86263 0.0251743 -0.00944141 0.999638 -0.000133479;
 1.07394 1.41417 7.85853 0.0253316 -0.00922076 0.999637 -0.000167197;
 1.07394 1.41417 7.85853 0.0253316 -0.00922076 0.999637 -0.000167197;
 1.05551 1.3989 7.85467 0.0253418 -0.00901484 0.999638 -0.000154131;
 1.04451 1.38997 7.85274 0.0254112 -0.00886822 0.999638 -0.000191473;
 1.02229 1.37125 7.84827 0.0254001 -0.00864014 0.99964 -0.000274587;
 1.00514 1.35597 7.84386 0.0252012 -0.00850392 0.999646 -0.000231976;
 0.984302 1.33899 7.83987 0.0249562 -0.00870911 0.999651 -0.000283438;
 0.973948 1.33065 7.83764 0.0249927 -0.00884683 0.999648 -0.000294438;
 0.952904 1.31324 7.83233 0.0251376 -0.00927897 0.999641 -0.000244705;
 0.944417 1.30602 7.83001 0.0252037 -0.009335 0.999639 -0.000252333;
 0.93457 1.29802 7.8275 0.0252101 -0.00931765 0.999639 -0.000309737;
 0.913202 1.28113 7.82198 0.0253533 -0.00929622 0.999635 -0.000328872;
 0.894276 1.26598 7.81652 0.025471 -0.009169 0.999633 -0.000454596;
 0.887728 1.26066 7.81462 0.0255895 -0.00905121 0.999631 -0.000498218;
 0.865726 1.24207 7.80926 0.0259953 -0.00864628 0.999625 -0.000577538;
 0.845948 1.22474 7.80434 0.0263124 -0.00858256 0.999617 -0.000581247;
 0.836927 1.2166 7.8021 0.0262841 -0.00853442 0.999618 -0.000577117;
 0.815927 1.19763 7.79743 0.0259983 -0.00857602 0.999625 -0.000635532;
 0.795349 1.17938 7.7931 0.0255137 -0.0086538 0.999637 -0.000758812;
 0.777179 1.16271 7.78833 0.0250248 -0.00876174 0.999648 -0.00089503;
 0.768849 1.15488 7.78623 0.0249685 -0.00875099 0.99965 -0.000922594;
 0.746149 1.13408 7.78075 0.0248125 -0.00888642 0.999652 -0.0010734;
 0.736362 1.12503 7.77831 0.0248286 -0.00890563 0.999651 -0.00106269;
 0.727127 1.11643 7.776 0.0247731 -0.00896468 0.999652 -0.00106079;
 0.718382 1.10824 7.77377 0.0247182 -0.00897547 0.999654 -0.0010793;
 0.697877 1.08933 7.76811 0.0245548 -0.00893019 0.999658 -0.00108376;
 0.687425 1.08012 7.76534 0.0241843 -0.0088465 0.999668 -0.00114378;
 0.677558 1.07142 7.76279 0.0238648 -0.00879542 0.999676 -0.00111112;
 0.66821 1.06312 7.76013 0.023153 -0.00878315 0.999693 -0.00118058;
 0.659329 1.05522 7.75739 0.0225588 -0.00857436 0.999708 -0.00124847;
 0.641292 1.03944 7.75183 0.0217194 -0.00828121 0.999729 -0.00134427;
 0.630662 1.03039 7.74913 0.0212132 -0.00809522 0.999741 -0.00136198;
 0.630662 1.03039 7.74913 0.0212132 -0.00809522 0.999741 -0.00136198;
 0.608899 1.01192 7.74371 0.0207103 -0.00785615 0.999754 -0.00142026;
 0.608899 1.01192 7.74371 0.0207103 -0.00785615 0.999754 -0.00142026;
 0.600085 1.00443 7.74153 0.0203024 -0.00764036 0.999764 -0.00145268;
 0.591736 0.997336 7.73937 0.0200413 -0.00750534 0.99977 -0.00153731;
 0.591736 0.997336 7.73937 0.0200413 -0.00750534 0.99977 -0.00153731;
 0.58226 0.989338 7.73702 0.0195826 -0.00742225 0.999779 -0.00162177;
 0.562005 0.972403 7.73249 0.018786 -0.00739894 0.999795 -0.00177763;
 0.548288 0.961056 7.72892 0.0182936 -0.00743954 0.999803 -0.00182858;
 0.53362 0.949185 7.7255 0.0178612 -0.00746099 0.999811 -0.00189408;
 0.524443 0.941726 7.72346 0.0177394 -0.00749391 0.999813 -0.00197462;
 0.524443 0.941726 7.72346 0.0177394 -0.00749391 0.999813 -0.00197462;
 0.514431 0.933537 7.72122 0.0180278 -0.0076376 0.999806 -0.00205559;
 0.504945 0.925913 7.71899 0.0183073 -0.00770182 0.999801 -0.0020542;
 0.495928 0.918803 7.71558 0.0189476 -0.00757879 0.99979 -0.00204513;
 0.489437 0.913857 7.71035 0.0200437 -0.00668669 0.999775 -0.00210287;
 0.481087 0.907806 7.6986 0.0212696 -0.00548125 0.999756 -0.00215075;
 0.473089 0.902266 7.68247 0.0232305 -0.00294814 0.999723 -0.00220786;
 0.462546 0.894428 7.66382 0.0248906 0.000431826 0.999688 -0.00217592;
 0.443601 0.88018 7.62551 0.0253137 0.00468829 0.999666 -0.00220247;
 0.443601 0.88018 7.62551 0.0253137 0.00468829 0.999666 -0.00220247;
 0.435194 0.873621 7.60694 0.024676 0.00642064 0.999672 -0.00226758;
 0.427448 0.867367 7.58864 0.0240915 0.00693121 0.999683 -0.00228419;
 0.427448 0.867367 7.58864 0.0240915 0.00693121 0.999683 -0.00228419;
 0.410248 0.851978 7.55211 0.0218244 0.00704436 0.999734 -0.00245101;
 0.410248 0.851978 7.55211 0.0218244 0.00704436 0.999734 -0.00245101;
 0.400255 0.84251 7.52923 0.0213048 0.00655732 0.999748 -0.00247735;
 0.392988 0.835445 7.51084 0.0204439 0.00519861 0.999774 -0.00250605;
 0.386241 0.828793 7.49201 0.0197609 0.0036282 0.999795 -0.00249311;
 0.37996 0.822533 7.47326 0.0195539 0.0027653 0.999802 -0.00251857;
 0.37996 0.822533 7.47326 0.0195539 0.0027653 0.999802 -0.00251857;
 0.374094 0.816629 7.45468 0.0193817 0.00124216 0.999808 -0.00252704;
 0.3686 0.811085 7.43604 0.0194208 -0.000152765 0.999808 -0.00256333;
 0.36214 0.804615 7.41312 0.0195446 -0.000818216 0.999805 -0.00254318;
 0.355725 0.797566 7.39459 0.0198128 -0.00166094 0.999799 -0.00259161;
 0.349158 0.790309 7.37604 0.020228 -0.0022149 0.99979 -0.00258845;
 0.342955 0.783573 7.35758 0.0204225 -0.00239389 0.999785 -0.00261428;
 0.342955 0.783573 7.35758 0.0204225 -0.00239389 0.999785 -0.00261428;
 0.337059 0.777289 7.33899 0.0208669 -0.00244822 0.999776 -0.00261559;
 0.331463 0.771441 7.32043 0.0211935 -0.00224625 0.999769 -0.00263586;
 0.326141 0.765945 7.30195 0.0213434 -0.00207737 0.999767 -0.00264526;
 0.319876 0.759618 7.28317 0.0217019 -0.00171577 0.999759 -0.00267013;
 0.312823 0.752593 7.2641 0.0219665 -0.00135751 0.999754 -0.00270815;
 0.306175 0.74603 7.24511 0.0220982 -0.00112435 0.999751 -0.00272665;
 0.306175 0.74603 7.24511 0.0220982 -0.00112435 0.999751 -0.00272665;
 0.299879 0.739876 7.22609 0.0222756 -0.000817092 0.999748 -0.00275965;
 0.293892 0.734099 7.20701 0.0224688 -0.000439864 0.999744 -0.00274085;
 0.293892 0.734099 7.20701 0.0224688 -0.000439864 0.999744 -0.00274085;
 0.288226 0.728665 7.18787 0.0225333 -0.000297754 0.999742 -0.00275021;
 0.280145 0.720053 7.16373 0.0225476 -9.63661e-05 0.999742 -0.00283172;
 0.273342 0.712483 7.14432 0.0225849 0.000117577 0.999741 -0.00287589;
 0.266888 0.705372 7.12514 0.0225763 0.000163405 0.999741 -0.00288187;
 0.260767 0.698681 7.10606 0.0225584 0.000284262 0.999741 -0.00290834;
 0.254962 0.692406 7.08688 0.0224464 0.000391399 0.999744 -0.00291673;
 0.249443 0.686528 7.06776 0.0222619 0.000490088 0.999748 -0.00294231;
 0.243567 0.679536 7.04836 0.0221114 0.000533922 0.999751 -0.00299592;
 0.243567 0.679536 7.04836 0.0221114 0.000533922 0.999751 -0.00299592;
 0.237378 0.671558 7.02891 0.0220856 0.00053523 0.999751 -0.00302598;
 0.231496 0.664128 7.00938 0.0220482 0.000494807 0.999752 -0.00303828;
 0.231496 0.664128 7.00938 0.0220482 0.000494807 0.999752 -0.00303828;
 0.220464 0.650724 6.97073 0.0219441 0.00033017 0.999754 -0.00306757;
 0.220464 0.650724 6.97073 0.0219441 0.00033017 0.999754 -0.00306757;
 0.215262 0.644683 6.95151 0.0219326 0.000320541 0.999755 -0.00311145;
 0.215262 0.644683 6.95151 0.0219326 0.000320541 0.999755 -0.00311145;
 0.208167 0.635765 6.92725 0.0219257 0.000398188 0.999755 -0.00312725;
 0.203771 0.630039 6.91248 0.0220448 0.000462763 0.999752 -0.00309472;
 0.198139 0.622857 6.89267 0.0221499 0.000507024 0.99975 -0.00310711;
 0.191431 0.614527 6.86808 0.0223054 0.000663631 0.999746 -0.00313859;
 0.186317 0.608328 6.84873 0.0224051 0.000763835 0.999744 -0.00312679;
 0.186317 0.608328 6.84873 0.0224051 0.000763835 0.999744 -0.00312679;
 0.181384 0.602517 6.82954 0.0224052 0.000780299 0.999744 -0.00308511;
 0.181384 0.602517 6.82954 0.0224052 0.000780299 0.999744 -0.00308511;
 0.175973 0.595477 6.81007 0.0223838 0.000803507 0.999744 -0.00317943;
