Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.90093e-310 -nan -nan -nan -nan;
 2.03639 1.96413 8.00161 -0.0209635 0.0107464 0.999722 0.000122689;
 2.03639 1.96413 8.00161 -0.0209635 0.0107464 0.999722 0.000122689;
 2.03774 1.9657 8.00239 -0.0184706 0.00910255 0.999788 0.000265778;
 2.03996 1.9654 8.00406 0.00144841 -0.0045784 0.999988 0.000857393;
 2.03771 1.9619 8.00372 0.0121273 -0.0152013 0.99981 0.00134697;
 2.03398 1.95442 8.00187 0.00958827 -0.0157922 0.999828 0.00144395;
 2.02405 1.94213 8.00016 0.00093888 -0.00902465 0.999958 0.00118036;
 2.01576 1.93014 7.99969 -0.00593868 -0.00129876 0.999981 0.000773057;
 2.00543 1.91805 7.99927 -0.00866594 0.00267164 0.999959 0.000432216;
 1.99817 1.90611 7.99876 -0.00862656 0.00285394 0.999959 0.000244072;
 1.9881 1.89268 7.9973 -0.00767221 0.00100773 0.99997 7.29562e-05;
 1.97949 1.87875 7.99736 -0.00721419 -0.000414028 0.999974 7.96575e-05;
 1.96904 1.86523 7.99897 -0.00764274 -0.000917944 0.99997 0.000101532;
 1.95918 1.85153 8.00021 -0.00801815 -0.000458479 0.999968 7.58643e-05;
 1.9462 1.83658 8.00104 -0.00797987 0.000150881 0.999968 7.91939e-05;
 1.93592 1.82283 8.00141 -0.00756137 0.000724501 0.999971 7.21975e-05;
 1.92276 1.80758 8.00154 -0.007539 0.000812105 0.999971 -3.50662e-05;
 1.91105 1.79219 8.00249 -0.00754892 0.000713385 0.999971 -2.53303e-05;
 1.89874 1.77794 8.00395 -0.00746975 0.000273076 0.999972 -9.79071e-05;
 1.88871 1.76392 8.0056 -0.00729692 -0.000176572 0.999973 -0.000138495;
 1.87587 1.7485 8.00859 -0.00717422 -0.000407476 0.999974 -0.000152951;
 1.86529 1.73421 8.01269 -0.00724815 -0.000391137 0.999974 -0.000226666;
 1.85184 1.71855 8.01643 -0.00743645 -0.000266404 0.999972 -0.000295618;
 1.84053 1.70378 8.01948 -0.00735251 -6.30899e-05 0.999973 -0.000367268;
 1.82657 1.68748 8.02275 -0.00753972 -6.05937e-05 0.999972 -0.00036613;
 1.81484 1.67186 8.02564 -0.00764696 6.17774e-05 0.999971 -0.000428886;
 1.80047 1.65511 8.02811 -0.00740779 0.000155901 0.999972 -0.000434323;
 1.78881 1.64005 8.03128 -0.00721326 2.22045e-05 0.999974 -0.000422775;
 1.77442 1.62384 8.03356 -0.00695252 -0.000190583 0.999976 -0.000448611;
 1.76288 1.60971 8.03548 -0.00678145 -0.00015906 0.999977 -0.00052241;
 1.74864 1.59411 8.03723 -0.00670908 -0.00032837 0.999977 -0.000562998;
 1.73631 1.58015 8.03839 -0.00682194 -0.000423624 0.999976 -0.000664656;
 1.72123 1.56478 8.03987 -0.00681161 -0.000424322 0.999976 -0.00109814;
 1.70755 1.54906 8.04206 -0.00670052 -0.000121064 0.999976 -0.00195279;
 1.69351 1.53438 8.04427 -0.00655575 -0.000223523 0.999975 -0.00260054;
 1.68226 1.51942 8.04754 -0.00647751 -0.000271363 0.999973 -0.0034611;
 1.66849 1.50308 8.04969 -0.00657539 -0.000742575 0.999969 -0.00423281;
 1.65622 1.48637 8.05271 -0.00674034 -0.00132874 0.999964 -0.00488933;
 1.64322 1.47077 8.05572 -0.00694605 -0.00173403 0.99996 -0.00536306;
 1.63052 1.45417 8.05967 -0.00724812 -0.00167865 0.999955 -0.00584931;
 1.61522 1.43637 8.06352 -0.00750591 -0.00135225 0.99995 -0.0063968;
 1.60111 1.41939 8.06669 -0.00750869 -0.00123608 0.999948 -0.00673346;
 1.58466 1.40134 8.07037 -0.00756662 -0.00124885 0.999945 -0.00709159;
 1.57524 1.39083 8.07235 -0.00746521 -0.00113494 0.999946 -0.00719544;
 1.554 1.3686 8.07589 -0.00692464 -0.00112485 0.999948 -0.0073733;
 1.53698 1.3517 8.07787 -0.00681689 -0.00159483 0.999947 -0.00759587;
 1.52374 1.3369 8.08088 -0.00671686 -0.00180402 0.999945 -0.00788989;
 1.50938 1.32189 8.08319 -0.00676554 -0.00182636 0.999941 -0.00827629;
 1.49497 1.30468 8.08592 -0.00665237 -0.00176301 0.99994 -0.0085202;
 1.48432 1.29264 8.08813 -0.0066338 -0.00171331 0.999939 -0.00862434;
 1.46622 1.27281 8.09114 -0.00691225 -0.00204551 0.999934 -0.00898006;
 1.45185 1.25803 8.09309 -0.00683057 -0.00226384 0.999931 -0.00931302;
 1.4423 1.24651 8.09472 -0.00671855 -0.0023472 0.99993 -0.00948536;
 1.42387 1.2258 8.09675 -0.00651424 -0.00246254 0.999928 -0.00981904;
 1.40949 1.2092 8.09887 -0.00643943 -0.00252737 0.999926 -0.0100314;
 1.39518 1.19348 8.101 -0.00655219 -0.00270458 0.999924 -0.0101024;
 1.3847 1.18169 8.10336 -0.00690577 -0.00278496 0.99992 -0.0102523;
 1.36486 1.16058 8.10834 -0.00726442 -0.00277581 0.999914 -0.0105988;
 1.34905 1.14398 8.11237 -0.00717816 -0.00274341 0.999913 -0.0107432;
 1.33755 1.13229 8.11528 -0.00713949 -0.0028811 0.999912 -0.0108318;
 1.32239 1.1165 8.11904 -0.00712632 -0.00289444 0.999909 -0.0111182;
 1.30684 1.1004 8.1223 -0.00722956 -0.0028606 0.999906 -0.0113275;
 1.28955 1.08285 8.12594 -0.0073683 -0.00295788 0.999902 -0.0115393;
 1.27199 1.06514 8.13024 -0.00731527 -0.00318472 0.999899 -0.0117771;
 1.25627 1.04893 8.13385 -0.00738326 -0.00351948 0.999895 -0.0119714;
 1.24042 1.03273 8.13767 -0.00741483 -0.00380211 0.999894 -0.011969;
 1.22248 1.01583 8.14169 -0.00724283 -0.00391496 0.999893 -0.0121027;
 1.20551 1.00009 8.14505 -0.00809565 -0.00371069 0.999887 -0.012141;
 1.18689 0.982783 8.14903 -0.00964808 -0.0036764 0.999872 -0.0122446;
 1.16964 0.966806 8.15302 -0.0108324 -0.00384428 0.999861 -0.012066;
 1.15119 0.950829 8.15707 -0.0115014 -0.00399656 0.999854 -0.0119858;
 1.1344 0.936739 8.16008 -0.0116818 -0.0041381 0.999853 -0.0118896;
 1.11572 0.922204 8.16334 -0.012133 -0.00436722 0.999846 -0.0119347;
 1.09827 0.909185 8.16709 -0.012934 -0.00428033 0.999836 -0.0119632;
 1.07887 0.89621 8.17042 -0.0136356 -0.00418425 0.999825 -0.012068;
 1.05924 0.883681 8.17297 -0.0141637 -0.00424745 0.999817 -0.0121728;
 1.04082 0.873269 8.17548 -0.0141371 -0.00410639 0.999815 -0.0123481;
 1.02249 0.86311 8.17739 -0.0136177 -0.00406091 0.999822 -0.0123885;
 1.00257 0.852947 8.17826 -0.0135301 -0.00393646 0.999821 -0.0126301;
 0.984226 0.843568 8.1787 -0.0137347 -0.00408586 0.999816 -0.012761;
 0.964474 0.833959 8.18002 -0.0142165 -8.37814e-05 0.999816 -0.01284;
 0.947259 0.825123 8.18194 -0.0140662 0.00649444 0.999796 -0.0129911;
 0.93003 0.816418 8.18281 -0.013501 0.0084308 0.999789 -0.0130118;
 0.915848 0.808205 8.1833 -0.0130989 0.00607392 0.999811 -0.013013;
 0.901507 0.800063 8.18514 -0.0130243 0.00225915 0.999827 -0.0131104;
 0.887569 0.791818 8.18669 -0.0129566 -0.000256232 0.99983 -0.013146;
 0.874914 0.784777 8.18751 -0.0126543 -0.000689611 0.999832 -0.0132401;
 0.862305 0.777376 8.18861 -0.0125719 -8.92394e-06 0.999831 -0.0134053;
 0.848043 0.769508 8.1903 -0.0125479 0.000898943 0.999831 -0.0133929;
 0.835035 0.761733 8.19146 -0.012156 0.00123879 0.999836 -0.0133557;
 0.821089 0.754 8.19215 -0.0121194 0.00107752 0.999837 -0.0133075;
 0.807587 0.745952 8.19258 -0.0121228 0.000610589 0.999838 -0.013302;
 0.795109 0.738995 8.19309 -0.0121358 0.00013819 0.999839 -0.013239;
 0.78269 0.73154 8.19377 -0.0121883 1.88021e-05 0.99984 -0.0131028;
 0.769709 0.722234 8.19431 -0.0122588 0.000134 0.99984 -0.013016;
 0.756389 0.713806 8.19351 -0.0122714 0.000184759 0.999839 -0.013068;
 0.744355 0.705506 8.19245 -0.0126063 -1.16892e-05 0.999834 -0.0131684;
 0.731646 0.697027 8.1902 -0.0128622 -0.000315048 0.999828 -0.0133534;
 0.720131 0.688898 8.18783 -0.0126925 -0.000284172 0.999829 -0.0134503;
 0.707465 0.681091 8.18622 -0.0122929 -0.000166906 0.999832 -0.0135819;
 0.695947 0.673235 8.18507 -0.0122247 -7.13283e-05 0.999831 -0.0137607;
 0.683463 0.666028 8.18378 -0.012569 -0.000122342 0.999827 -0.0136928;
 0.669711 0.657546 8.18235 -0.0128961 -0.000102092 0.999821 -0.013817;
 0.656048 0.649144 8.18111 -0.0130348 4.4781e-06 0.999821 -0.0137182;
 0.64384 0.640721 8.17983 -0.0129897 9.00533e-05 0.999821 -0.0137223;
 0.630469 0.63369 8.17887 -0.0128186 7.85222e-05 0.999823 -0.0137686;
 0.615847 0.625662 8.1786 -0.0130698 5.14389e-06 0.999818 -0.0139203;
 0.602274 0.618809 8.17908 -0.0130306 0.000195881 0.999817 -0.0139949;
 0.588046 0.610693 8.17961 -0.0127845 0.000225505 0.999819 -0.0140594;
 0.572618 0.603217 8.17989 -0.0125028 0.000150282 0.999823 -0.014089;
 0.558446 0.595812 8.18073 -0.0124236 0.000345534 0.999821 -0.0142852;
 0.543631 0.588764 8.18088 -0.0122599 0.000507217 0.999824 -0.0142181;
 0.52738 0.579538 8.14759 -0.0159661 0.000673167 0.99977 -0.0143069;
 0.511212 0.57126 8.08546 -0.0181136 0.00156823 0.999731 -0.0144251;
 0.496915 0.563827 8.03221 -0.0159047 0.001962 0.999768 -0.0143964;
 0.482848 0.557914 7.97838 -0.0134323 0.00187 0.999805 -0.0143621;
 0.467851 0.551 7.91813 -0.0123184 0.00177059 0.999819 -0.0143559;
 0.453647 0.545306 7.86307 -0.0122203 0.00193013 0.999821 -0.0143309;
 0.438635 0.538166 7.80641 -0.0125332 0.00163971 0.999817 -0.014346;
 0.42498 0.532231 7.75423 -0.0130672 0.00124512 0.999813 -0.0142292;
 0.410325 0.525075 7.6963 -0.0132878 0.00119419 0.999811 -0.0141743;
 0.39705 0.519074 7.64336 -0.013009 0.00163778 0.999813 -0.0142185;
 0.383114 0.511587 7.58552 -0.0130475 0.00202251 0.99981 -0.0143126;
 0.370617 0.505567 7.53152 -0.0132582 0.00199166 0.999808 -0.0142963;
 0.357424 0.498484 7.47256 -0.01318 0.00177998 0.99981 -0.0142793;
 0.345652 0.492978 7.41779 -0.0129037 0.00148785 0.999813 -0.01431;
 0.332846 0.486351 7.3584 -0.0127749 0.00160901 0.999814 -0.0143696;
 0.320738 0.481335 7.30431 -0.0126517 0.00184278 0.999814 -0.0144079;
 0.307432 0.474973 7.24598 -0.0126726 0.00217664 0.999814 -0.0143864;
 0.294542 0.469902 7.18766 -0.0127842 0.0021962 0.999813 -0.014364;
 0.282663 0.464489 7.13462 -0.0128767 0.00197699 0.999814 -0.0142544;
 0.270887 0.459625 7.081 -0.0125671 0.0019365 0.999819 -0.0141421;
 0.25803 0.453238 7.02251 -0.0122661 0.00187675 0.999824 -0.0141062;
 0.24613 0.446812 6.96498 -0.0124433 0.00189035 0.999823 -0.0140043;
 0.23508 0.439891 6.91192 -0.0124959 0.00171656 0.999823 -0.0139456;
 0.224079 0.433275 6.85919 -0.0123978 0.00186132 0.999825 -0.0138493;
 0.212017 0.425252 6.80195 -0.0124502 0.00213914 0.999824 -0.0138999;
 0.199445 0.418316 6.74502 -0.0124116 0.00209683 0.999824 -0.0138956;
 0.187679 0.411502 6.69279 -0.0121617 0.0019703 0.999829 -0.0138214;
 0.174717 0.404402 6.63737 -0.0117953 0.00189561 0.999833 -0.0138264;
 0.162563 0.39703 6.58629 -0.011636 0.00201124 0.999836 -0.0136995;
 0.149857 0.389318 6.53056 -0.0116698 0.00214888 0.999836 -0.0136816;
 0.138023 0.381368 6.47792 -0.0121664 0.00223447 0.999829 -0.0137152;
 0.126553 0.373729 6.42465 -0.0127466 0.00257924 0.999821 -0.0137116;
 0.114161 0.365033 6.36618 -0.0131154 0.00303485 0.999815 -0.0137608;
 0.10211 0.35632 6.30717 -0.013074 0.00322566 0.999815 -0.0137656;
 0.0909072 0.347678 6.2519 -0.0134258 0.00361442 0.999809 -0.0137548;
 0.078757 0.337709 6.1909 -0.0138131 0.00406657 0.999801 -0.0137704;
 0.0680383 0.329588 6.13437 -0.014049 0.00436106 0.999797 -0.0137475;
 0.0564758 0.321073 6.07081 -0.0144163 0.00487903 0.99979 -0.0137545;
 0.04659 0.314652 6.01072 -0.0140754 0.00556937 0.999791 -0.0137727;
 0.0360575 0.307713 5.94224 -0.0145439 0.00675542 0.999776 -0.0138467;
 0.0269378 0.302579 5.87297 -0.0159383 0.00920907 0.999735 -0.0138144;
 0.0176935 0.297032 5.79347 -0.0168733 0.0116186 0.999694 -0.0138326;
 0.0108823 0.29244 5.71998 -0.0173895 0.0160367 0.999625 -0.0137767;
 0.00545179 0.287629 5.64251 -0.0165884 0.0204408 0.999558 -0.0138133;
 0.00343546 0.283632 5.57478 -0.0152591 0.0213505 0.999559 -0.0138797;
 0.00372551 0.279238 5.50357 -0.0147133 0.0196564 0.999601 -0.0139719;
 0.00568891 0.275984 5.44222 -0.0148315 0.017574 0.999637 -0.0140044;
 0.00835097 0.272688 5.38352 -0.015566 0.0164593 0.999645 -0.0140014;
 0.0124251 0.269786 5.32643 -0.00883271 0.0169011 0.999719 -0.0140974;
 0.017116 0.265729 5.27269 -0.00190318 0.0179728 0.999735 -0.0142447;
 0.0225188 0.259917 5.22091 -0.00150028 0.0184818 0.999728 -0.0141785;
 0.0290015 0.251582 5.16423 -0.00461791 0.0175926 0.999737 -0.013951;
 0.0349946 0.244151 5.11174 -0.0182909 0.0162505 0.999608 -0.0136427;
 0.0408002 0.238221 5.06047 -0.0215616 0.0155219 0.999556 -0.0134889;
 0.047321 0.232459 5.00585 -0.0112183 0.0151404 0.999731 -0.0135428;
 0.0530192 0.226488 4.95616 -0.00366462 0.0153451 0.999782 -0.013693;
 0.0597445 0.217587 4.90035 -0.00456758 0.0156044 0.999774 -0.0137111;
 0.0667083 0.207558 4.84258 -0.0192631 0.0156947 0.999599 -0.01355;
 0.073993 0.200104 4.78762 -0.0360268 0.0147952 0.99915 -0.0135175;
 0.0814057 0.196106 4.7198 -0.0324033 0.013524 0.999291 -0.0135831;
 0.0885608 0.193681 4.65481 -0.015869 0.0123706 0.999703 -0.0137263;
 0.0956944 0.190942 4.58556 -0.0053547 0.011826 0.999821 -0.0137427;
 0.101818 0.186837 4.52974 -0.0145117 0.0129392 0.999718 -0.0136547;
 0.108053 0.183171 4.47344 -0.0286627 0.0153943 0.99938 -0.0134282;
 0.114098 0.181889 4.41919 -0.0330305 0.0168595 0.999224 -0.0132857;
 0.119759 0.182778 4.35421 -0.0279552 0.0138136 0.999426 -0.0132385;
 0.125118 0.183622 4.26505 -0.0188824 0.00739927 0.999707 -0.0131992;
 0.128606 0.184882 4.19613 -0.0152081 0.0051467 0.999785 -0.0131208;
 0.131791 0.185316 4.13164 -0.0168391 0.00790701 0.99974 -0.0131778;
 0.134315 0.185949 4.06987 -0.0204658 0.0133232 0.999615 -0.0132086;
 0.137545 0.187106 4.0192 -0.0231226 0.017632 0.99949 -0.0131893;
