Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.91205e-310 -nan -nan -nan -nan;
 1.99433 2.01047 8.0278 -0.00516843 0.0253197 0.999666 0.000149326;
 1.99433 2.01047 8.0278 -0.00516843 0.0253197 0.999666 0.000149326;
 2.0036 2.01204 8.03282 -0.00256724 0.00979428 0.999949 5.07448e-05;
 2.01268 2.0124 8.0408 0.0213184 -0.0180391 0.99961 -0.00087893;
 2.0165 2.00887 8.04438 0.0272727 -0.0123772 0.999551 -0.000705875;
 2.01479 1.99974 8.04806 0.020134 0.00309784 0.999792 -0.000911721;
 2.01021 1.98811 8.05204 0.0112711 0.00561114 0.99992 -0.0014276;
 2.00432 1.97642 8.05341 0.00668968 0.00257996 0.999974 -0.00123608;
 1.99884 1.96353 8.05584 0.00503495 0.00254537 0.999983 -0.00118947;
 1.99393 1.95118 8.06088 0.00464307 0.0130026 0.999903 -0.00181855;
 1.98922 1.93772 8.06397 0.00431506 0.0170251 0.999844 -0.00182036;
 1.98413 1.92492 8.06519 0.00468695 0.00921296 0.999946 -0.00126677;
 1.97871 1.91132 8.06304 0.00445524 0.00299337 0.999985 -0.0012851;
 1.97302 1.89866 8.0618 0.00468977 0.00607521 0.99997 -0.00088521;
 1.9675 1.88636 8.06019 0.00474319 0.0138255 0.999893 -0.000606535;
 1.96119 1.87337 8.06168 0.00514344 0.0162875 0.999854 -0.000928959;
 1.95527 1.86179 8.06331 0.00486925 0.0079786 0.999955 -0.00140931;
 1.94843 1.84926 8.06619 0.00440619 -0.0026095 0.999987 -0.000830293;
 1.94116 1.83663 8.0697 0.00451598 0.00435796 0.99998 -0.00079569;
 1.93375 1.82444 8.07071 0.00399968 0.0117602 0.999922 -0.00111634;
 1.92644 1.8125 8.07298 0.00439429 0.014305 0.999888 -0.000282679;
 1.91849 1.79953 8.07615 0.00497911 0.00117176 0.999987 -0.000427074;
 1.91067 1.78766 8.07816 0.00524563 -0.0056991 0.999969 -0.0010632;
 1.90156 1.77455 8.08094 0.0056582 0.00187268 0.999982 -0.00018886;
 1.89184 1.76233 8.08576 0.00474706 0.00806902 0.999956 -0.000830714;
 1.87988 1.74901 8.09095 0.00464251 0.00500141 0.999976 -0.00111512;
 1.86691 1.73684 8.09321 0.00440235 -0.00171784 0.999989 -0.000504751;
 1.85156 1.72326 8.0986 0.00487067 -0.00681263 0.999965 -0.000311718;
 1.83806 1.70888 8.10224 0.00442017 -0.00225327 0.999987 -0.000744693;
 1.82218 1.69391 8.09906 0.0039153 0.00404115 0.999984 -0.000594397;
 1.80508 1.67941 8.09784 0.00373859 0.000626935 0.999993 -0.000651337;
 1.78764 1.66743 8.09569 0.00413504 -0.00770094 0.999961 -0.000919644;
 1.76907 1.65626 8.09311 0.00454557 -0.0100351 0.999939 -0.000982822;
 1.74747 1.64401 8.09107 0.00498322 -0.00269611 0.999984 -0.000816595;
 1.72657 1.63247 8.08685 0.00475322 -0.000226777 0.999988 -0.000806775;
 1.7027 1.61944 8.0823 0.00419435 -0.00629627 0.999971 -0.000774322;
 1.67779 1.60589 8.0774 0.00381361 -0.00976255 0.999945 -0.00059191;
 1.6532 1.59363 8.07225 0.00375357 -0.00490776 0.999981 -0.000322634;
 1.62624 1.58031 8.0683 0.00424535 -0.00178715 0.999989 -0.00029722;
 1.60016 1.56873 8.06569 0.00431733 -0.00231353 0.999988 -0.000654077;
 1.57366 1.55735 8.06404 0.00426385 -0.00899003 0.99995 -0.000388805;
 1.5443 1.54488 8.06261 0.0043087 -0.0123145 0.999915 -0.000187258;
 1.51452 1.532 8.06451 0.00368332 -0.0061007 0.999974 -0.000698542;
 1.48486 1.52059 8.06846 0.00376616 -0.000807782 0.999992 -0.000932078;
 1.45193 1.50839 8.07149 0.00405109 -0.00220899 0.999989 -0.000360398;
 1.42092 1.4971 8.07526 0.00426562 -0.0124447 0.999913 -0.000136345;
 1.39006 1.48542 8.0803 0.00496795 -0.0117752 0.999918 -0.00054656;
 1.35593 1.47245 8.08745 0.00487074 -0.0034575 0.999982 -0.000128084;
 1.32373 1.46042 8.09117 0.00544768 -0.00210711 0.999983 0.000238551;
 1.28783 1.44738 8.09434 0.00445482 -0.00788766 0.999959 -0.000172971;
 1.2538 1.43553 8.09733 0.00418958 -0.0134076 0.999901 -0.000120371;
 1.21716 1.42275 8.10345 0.00458815 -0.011118 0.999928 -0.000142625;
 1.18343 1.4109 8.1082 0.00478667 -0.00272197 0.999985 -0.000790043;
 1.14698 1.39811 8.11626 0.00483807 0.00173287 0.999986 -0.000872524;
 1.11368 1.38624 8.12651 0.0051641 -0.00707914 0.999962 -0.000414809;
 1.07762 1.3733 8.13176 0.00533512 -0.0156677 0.999863 -0.000556676;
 1.0437 1.36129 8.13144 0.00498331 -0.0115826 0.99992 -0.000499651;
 1.0059 1.34905 8.13488 0.00536665 -0.00335612 0.999979 -0.0010774;
 0.967291 1.33715 8.13955 0.00570561 -0.00796006 0.999951 -0.00157334;
 0.929462 1.32541 8.14204 0.00494717 -0.0158662 0.999861 -0.00148799;
 0.888107 1.31216 8.14484 0.00490063 -0.012865 0.999904 -0.00169987;
 0.849211 1.30039 8.14763 0.00550717 -0.00608505 0.999965 -0.00165469;
 0.810725 1.28858 8.15306 0.00508807 -0.00484833 0.999975 -0.00120869;
 0.769164 1.27582 8.15634 0.00561389 -0.0068531 0.99996 -0.00119571;
 0.728489 1.26292 8.16109 0.00615079 -0.00750087 0.999952 -0.00122538;
 0.690824 1.2507 8.16668 0.00360338 4.71078e-05 0.999993 -0.000705117;
 0.65418 1.23881 8.17108 -0.00622135 0.00362249 0.999974 -0.000315722;
 0.615155 1.22795 8.17726 -0.00806805 -0.00215175 0.999965 -0.000245042;
 0.576815 1.21935 8.18327 -0.00538545 -0.00735345 0.999958 -6.23352e-05;
 0.541045 1.2127 8.18887 -0.00168234 -0.00783123 0.999968 -0.000435082;
 0.505596 1.20629 8.19499 0.00256319 -0.00273695 0.999993 -0.000539269;
 0.467229 1.19847 8.20188 0.0123278 0.0012064 0.999923 -0.000490294;
 0.432149 1.18949 8.20358 0.0139274 -0.00312972 0.999898 -0.000544706;
 0.394124 1.17798 8.19081 0.00848955 -0.00513121 0.999951 -0.000303794;
 0.356998 1.16548 8.17883 0.00567804 0.00300461 0.999979 -0.000279686;
 0.323898 1.15434 8.1814 0.00617362 0.0148238 0.999871 -0.000620781;
 0.291527 1.14233 8.17708 0.00577151 0.0250857 0.999668 -0.00094704;
 0.263804 1.1309 8.15971 0.00343318 0.0244702 0.999694 -0.000872945;
 0.239987 1.11934 8.13809 0.00149311 0.015881 0.999872 -0.000805468;
 0.225895 1.10566 8.09506 -0.00212958 0.014692 0.99989 -0.000400311;
 0.209847 1.09453 8.03531 -0.00422418 0.0168094 0.99985 6.42739e-05;
 0.192582 1.08424 7.97348 -0.00277006 0.0136378 0.999903 0.000238298;
 0.175656 1.07603 7.91655 -0.000385068 0.00899916 0.999959 0.000410089;
 0.157439 1.06733 7.85598 0.000640416 0.00608784 0.999981 0.000631149;
 0.137653 1.05981 7.79875 0.00126783 0.00804799 0.999967 0.000720669;
 0.120618 1.05316 7.74601 0.00156062 0.010053 0.999948 0.000567128;
 0.102431 1.04701 7.69261 0.00144564 0.0101336 0.999947 0.000586684;
